"item.no","level","log.freq.ratio","discrimination","difficulty","guessing","inattention","tone.1","tone.2","tone.3","answer"
1,330.226,0.000684614,1.440205336,0.590698548,0.33,0.99,330.226,330,330,1
1,330.226,0.000684614,1.440205336,0.590698548,0.33,0.99,330,330.226,330,2
1,330.226,0.000684614,1.440205336,0.590698548,0.33,0.99,330,330,330.226,3
2,330.763,0.002309452,1.440205336,0.527445739,0.33,0.99,330.763,330,330,1
2,330.763,0.002309452,1.440205336,0.527445739,0.33,0.99,330,330.763,330,2
2,330.763,0.002309452,1.440205336,0.527445739,0.33,0.99,330,330,330.763,3
3,330.784,0.00237294,1.440205336,0.524974253,0.33,0.99,330.784,330,330,1
3,330.784,0.00237294,1.440205336,0.524974253,0.33,0.99,330,330.784,330,2
3,330.784,0.00237294,1.440205336,0.524974253,0.33,0.99,330,330,330.784,3
4,331.321,0.003995039,1.440205336,0.461828058,0.33,0.99,331.321,330,330,1
4,331.321,0.003995039,1.440205336,0.461828058,0.33,0.99,330,331.321,330,2
4,331.321,0.003995039,1.440205336,0.461828058,0.33,0.99,330,330,331.321,3
5,331.343,0.004061438,1.440205336,0.459243246,0.33,0.99,331.343,330,330,1
5,331.343,0.004061438,1.440205336,0.459243246,0.33,0.99,330,331.343,330,2
5,331.343,0.004061438,1.440205336,0.459243246,0.33,0.99,330,330,331.343,3
6,331.879,0.00567779,1.440205336,0.396320795,0.33,0.99,331.879,330,330,1
6,331.879,0.00567779,1.440205336,0.396320795,0.33,0.99,330,331.879,330,2
6,331.879,0.00567779,1.440205336,0.396320795,0.33,0.99,330,330,331.879,3
7,331.904,0.005753116,1.440205336,0.39338846,0.33,0.99,331.904,330,330,1
7,331.904,0.005753116,1.440205336,0.39338846,0.33,0.99,330,331.904,330,2
7,331.904,0.005753116,1.440205336,0.39338846,0.33,0.99,330,330,331.904,3
8,332.438,0.007360722,1.440205336,0.330806479,0.33,0.99,332.438,330,330,1
8,332.438,0.007360722,1.440205336,0.330806479,0.33,0.99,330,332.438,330,2
8,332.438,0.007360722,1.440205336,0.330806479,0.33,0.99,330,330,332.438,3
9,332.465,0.007441937,1.440205336,0.327644892,0.33,0.99,332.465,330,330,1
