item.no,level,log.freq.ratio,discrimination,difficulty,guessing,inattention
1,330.226,0.000684614,1.440205336,0.590698548,0.33,0.99
2,330.763,0.002309452,1.440205336,0.527445739,0.33,0.99
3,330.784,0.00237294,1.440205336,0.524974253,0.33,0.99
4,331.321,0.003995039,1.440205336,0.461828058,0.33,0.99
5,331.343,0.004061438,1.440205336,0.459243246,0.33,0.99
6,331.879,0.00567779,1.440205336,0.396320795,0.33,0.99
7,331.904,0.005753116,1.440205336,0.39338846,0.33,0.99
8,332.438,0.007360722,1.440205336,0.330806479,0.33,0.99
9,332.465,0.007441937,1.440205336,0.327644892,0.33,0.99
10,332.998,0.009043829,1.440205336,0.265285329,0.33,0.99
11,333.027,0.009130913,1.440205336,0.261895271,0.33,0.99
12,333.559,0.010727107,1.440205336,0.199757567,0.33,0.99
13,333.59,0.01082004,1.440205336,0.196139817,0.33,0.99
14,334.121,0.012410548,1.440205336,0.134223409,0.33,0.99
15,334.154,0.01250931,1.440205336,0.130378745,0.33,0.99
16,334.684,0.014094149,1.440205336,0.068683074,0.33,0.99
17,335.248,0.015777902,1.440205336,0.003136779,0.33,0.99
18,335.813,0.017461803,1.440205336,-0.062415263,0.33,0.99
19,336.379,0.019145846,1.440205336,-0.127972835,0.33,0.99
20,336.946,0.020830026,1.440205336,-0.193535726,0.33,0.99
21,337.514,0.022514336,1.440205336,-0.259103721,0.33,0.99
22,337.557,0.02264173,1.440205336,-0.264063002,0.33,0.99
23,338.082,0.024195815,1.440205336,-0.324561466,0.33,0.99
24,338.652,0.025880377,1.440205336,-0.390139234,0.33,0.99
25,339.223,0.027565054,1.440205336,-0.455721477,0.33,0.99
26,339.794,0.029246897,1.440205336,-0.52119342,0.33,0.99
27,340.367,0.030931793,1.440205336,-0.586784181,0.33,0.99
28,340.94,0.032613854,1.440205336,-0.652264614,0.33,0.99
29,341.515,0.034298947,1.440205336,-0.717863067,0.33,0.99
30,342.09,0.035981206,1.440205336,-0.783351166,0.33,0.99
31,342.667,0.037666476,1.440205336,-0.848956494,0.33,0.99
32,343.244,0.03934891,1.440205336,-0.914451444,0.33,0.99
33,343.823,0.041034336,1.440205336,-0.980062835,0.33,0.99
34,344.402,0.042716925,1.440205336,-1.045563829,0.33,0.99
35,344.982,0.044399587,1.440205336,-1.11106764,0.33,0.99
36,345.051,0.044599578,1.440205336,-1.118853004,0.33,0.99
37,345.564,0.04608521,1.440205336,-1.176686721,0.33,0.99
38,346.146,0.047767997,1.440205336,-1.242195379,0.33,0.99
39,346.729,0.049450841,1.440205336,-1.307706259,0.33,0.99
40,347.314,0.051136615,1.440205336,-1.373331251,0.33,0.99
41,347.899,0.052819553,1.440205336,-1.438845799,0.33,0.99
42,348.485,0.054502533,1.440205336,-1.504361985,0.33,0.99
43,349.072,0.05618555,1.440205336,-1.569879614,0.33,0.99
44,349.661,0.057871459,1.440205336,-1.635509827,0.33,0.99
